file,pitch_hz,pitch_std,n_syllables,duration_s,snr_estimate,valid
data/audio_xc_val/1011624.mp3,175.72137344594498,68.04302895873958,40,16.49578231292517,0.7617995130312448,True
data/audio_xc_val/1029258.mp3,326.6313983983473,72.93637333196678,36,39.869024943310656,0.9630033736028467,True
data/audio_xc_val/1031674.mp3,345.47213468004804,129.40907665087593,19,14.159727891156463,0.6815286693216954,True
data/audio_xc_val/1032301.mp3,203.75557293867587,121.94835979191521,84,60.0,0.7023840911819488,True
data/audio_xc_val/1034866.mp3,160.14533547812314,72.17238384305453,58,23.587120181405897,0.9018483894563745,True
data/audio_xc_val/1041350.mp3,350.6648540726624,74.22468670164369,119,91.95102040816326,0.9381630151350038,True
data/audio_xc_val/1041351.mp3,343.3551200366614,89.23550907362971,169,104.59428571428572,0.9440482618658635,True
data/audio_xc_val/1073356.mp3,132.37773662890947,62.38128167837368,214,145.56403628117914,0.9567649363069269,True
data/audio_xc_val/1092367.mp3,374.6719957655608,52.591051923229685,110,44.66553287981859,0.8804923095373839,True
data/audio_xc_val/1092515.mp3,136.79118379985272,125.49503211599198,55,50.986666666666665,0.9453774602356511,True
data/audio_xc_val/1098618.mp3,156.12251987265313,118.76184290055178,29,51.536689342403626,0.5182061225980864,True
data/audio_xc_val/1101399.mp3,159.91275401675517,106.07984300298318,247,122.17197278911564,0.9128039059075924,True
data/audio_xc_val/1104945.mp3,256.1952914449086,93.65545066857914,66,57.92861678004535,0.594454702423943,True
data/audio_xc_val/1107845.mp3,382.76397771846604,142.8362912422654,17,11.909705215419502,0.5167576451674384,True
data/audio_xc_val/1138083.mp3,391.79625921575575,93.29861851582731,16,17.382448979591835,0.928208842145468,True
data/audio_xc_val/1161237.mp3,139.9638806257214,97.98348870142708,78,78.61823129251701,0.9207869635212456,True
data/audio_xc_val/1169741.mp3,143.47783574302088,111.41141656814739,230,128.86349206349206,0.7878874205840254,True
data/audio_xc_val/1176505.mp3,358.7863641094193,114.44146422989282,40,46.90480725623583,0.6608620439678555,True
data/audio_xc_val/1176548.mp3,261.7880349269376,132.16844590605388,8,16.153061224489797,0.7461324814356339,True
data/audio_xc_val/121677.mp3,180.1441082458258,97.8192152246265,13,4.776009070294784,0.9359924138073997,True
data/audio_xc_val/121680.mp3,163.74837899292788,78.31510390013312,91,45.07201814058957,0.9117545551119425,True
data/audio_xc_val/169211.mp3,181.27636810257312,59.03405454504298,80,50.9621768707483,0.8828276491877667,True
data/audio_xc_val/178529.mp3,197.89733150519032,88.2169729297218,108,87.19392290249434,0.9161790352934631,True
data/audio_xc_val/200010.mp3,220.51083117439777,93.29136534203943,465,514.0114285714286,0.9228916966794619,True
data/audio_xc_val/228541.mp3,365.3037760689135,122.56799169083476,29,31.373061224489796,0.48519209161317883,True
data/audio_xc_val/245681.mp3,257.3833122819093,94.182690515887,53,31.212290249433106,0.8605483277206373,True
data/audio_xc_val/26550.mp3,128.2519039243726,38.78652337444544,2,14.288979591836735,0.8993757765184305,True
data/audio_xc_val/269762.mp3,183.31039959434383,66.3191166399256,108,115.43510204081633,0.8879790894251502,True
data/audio_xc_val/270097.mp3,215.75123964204138,94.69945955637023,25,12.66920634920635,0.9432138133220671,True
data/audio_xc_val/306692.mp3,215.9860956805475,81.69824745389921,10,10.501224489795918,0.9484053968691952,True
data/audio_xc_val/316785.mp3,175.51134646688308,98.03962403316436,136,269.4031746031746,0.9281554370360489,True
data/audio_xc_val/342145.mp3,147.41310701740287,80.05532501097953,6,13.949387755102041,0.8982140467528038,True
data/audio_xc_val/376904.mp3,359.1702774263775,96.18256675323241,23,17.875102040816326,0.6169646877173541,True
data/audio_xc_val/376905.mp3,368.1277192240866,99.27111401202242,46,37.82204081632653,0.5379822159491925,True
data/audio_xc_val/380054.mp3,398.0631437393138,35.184938073882506,118,66.18925170068027,0.6873814653932583,True
data/audio_xc_val/380502.mp3,338.7473937817107,117.26950482579134,3,12.865895691609976,0.6089230227440775,True
data/audio_xc_val/394164.mp3,365.14304869663204,73.08097802193313,84,77.64875283446712,0.6837611455335523,True
data/audio_xc_val/394506.mp3,359.6483719777507,75.10504814463671,878,409.4640362811791,0.43923141497847823,True
data/audio_xc_val/406467.mp3,421.3216861096561,26.48142340305205,13,11.4340589569161,0.7098469112842215,True
data/audio_xc_val/449642.mp3,352.11279368423874,113.91223717371265,55,45.336009070294786,0.7774151808071529,True
data/audio_xc_val/460854.mp3,262.22464711115697,80.91797884007605,86,67.53600907029478,0.9486721732789087,True
